==========================================
SLURM_JOB_ID = 6156106
SLURM_JOB_NODELIST = d06-16
TMPDIR = /tmp/SLURM_6156106
==========================================
10_10_14_20_50_022 [22, 50, 50, 60, 60, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 60
Epoch 1: Loss = 0.48768, Training (Code) = 0.47403, Validation (Code) = 0.47792, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99991
Epoch 80: Loss = 0.51637, Training (Code) = 0.48071, Validation (Code) = 0.48333, Training (X) = 0.99993, Validation (X) = 1.0, Training (Z) = 0.99989, Validation (Z) = 1.0
Epoch 81: Loss = 0.51617, Training (Code) = 0.4819, Validation (Code) = 0.48475, Training (X) = 0.99994, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 82: Loss = 0.51597, Training (Code) = 0.48201, Validation (Code) = 0.48367, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 83: Loss = 0.51577, Training (Code) = 0.48168, Validation (Code) = 0.48483, Training (X) = 0.99994, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99974
Epoch 84: Loss = 0.51559, Training (Code) = 0.48119, Validation (Code) = 0.48413, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 85: Loss = 0.51542, Training (Code) = 0.48248, Validation (Code) = 0.48525, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 86: Loss = 0.51527, Training (Code) = 0.48178, Validation (Code) = 0.48542, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 87: Loss = 0.51514, Training (Code) = 0.48182, Validation (Code) = 0.48321, Training (X) = 0.99991, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 88: Loss = 0.51503, Training (Code) = 0.48159, Validation (Code) = 0.48396, Training (X) = 0.99998, Validation (X) = 0.99991, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 89: Loss = 0.51494, Training (Code) = 0.48145, Validation (Code) = 0.4835, Training (X) = 1.0, Validation (X) = 0.99983, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 90: Loss = 0.51487, Training (Code) = 0.4807, Validation (Code) = 0.48512, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 1.0
Epoch 91: Loss = 0.51481, Training (Code) = 0.48121, Validation (Code) = 0.48629, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 92: Loss = 0.51476, Training (Code) = 0.48205, Validation (Code) = 0.48546, Training (X) = 0.99996, Validation (X) = 0.99991, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 93: Loss = 0.51472, Training (Code) = 0.48141, Validation (Code) = 0.48646, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 1.0
Epoch 94: Loss = 0.51468, Training (Code) = 0.48247, Validation (Code) = 0.48512, Training (X) = 0.99996, Validation (X) = 0.99983, Training (Z) = 0.99996, Validation (Z) = 1.0
Epoch 95: Loss = 0.51465, Training (Code) = 0.48183, Validation (Code) = 0.48483, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99983
Epoch 96: Loss = 0.51463, Training (Code) = 0.48283, Validation (Code) = 0.48408, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 0.99998, Validation (Z) = 0.99991
Epoch 97: Loss = 0.51461, Training (Code) = 0.48063, Validation (Code) = 0.48562, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99993, Validation (Z) = 1.0
Epoch 98: Loss = 0.51459, Training (Code) = 0.48155, Validation (Code) = 0.48321, Training (X) = 0.99998, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 99: Loss = 0.51458, Training (Code) = 0.48213, Validation (Code) = 0.48671, Training (X) = 0.99996, Validation (X) = 1.0, Training (Z) = 0.99991, Validation (Z) = 0.99991
Epoch 100: Loss = 0.51456, Training (Code) = 0.48134, Validation (Code) = 0.48317, Training (X) = 0.99987, Validation (X) = 1.0, Training (Z) = 0.99996, Validation (Z) = 1.0
